date,illum/1000,pm10,pm2.5,sky
2018-03-07,29.27918617,23.66666667,8.25,4
2018-03-10,54.88052651,66.29166667,45.5,1.25
2018-03-24,38.45317663,108.25,75.91666667,2.5
2018-03-26,51.97074665,99.54166667,63.75,1.375
2018-03-27,55.11182135,103.9166667,65.33333333,1.75
2018-03-31,60.88961355,82.70833333,43.58333333,1.25
2018-04-01,15.63962028,85.5,39.20833333,3.625
2018-04-03,45.76723461,65.04166667,23.04166667,2.25
2018-04-07,68.24072593,63.83333333,20.625,2.375
2018-04-09,67.09451907,78.125,36.58333333,2
2018-04-10,55.83541781,48.83333333,21.41666667,2.875
2018-04-12,79.41305618,53.54166667,13.54166667,1.625
2018-04-13,30.75436629,52,17.79166667,2.625
2018-04-16,62.98062277,62.45833333,31.95833333,1.571428571
2018-04-17,49.72729019,84.20833333,38,1.25
2018-04-18,70.88486329,73.20833333,37.875,1.125
2018-04-19,67.55781153,61.875,30.375,1
2018-04-21,71.8877489,102.75,53.33333333,1.5
