2017-04-13,6:00:00,19:00:00
2017-04-19,5:52:00,19:52:00
2017-04-21,5:49:00,19:49:00
2017-04-22,5:48:00,19:48:00
2017-04-24,5:45:00,19:45:00
2017-05-01,5:37:00,19:37:00
2017-05-02,5:36:00,19:36:00
2017-05-15,5:23:00,19:23:00
2017-05-17,5:22:00,19:22:00
2017-05-18,5:21:00,19:21:00
2017-05-22,5:18:00,19:18:00
2017-05-23,5:18:00,19:18:00
2017-05-25,5:16:00,19:16:00
2017-05-30,5:14:00,19:14:00
2017-06-02,5:13:00,19:13:00
2017-06-05,5:12:00,19:12:00
2017-06-09,5:11:00,19:11:00
2017-06-10,5:11:00,19:11:00
2017-06-14,5:11:00,19:11:00
2017-06-15,5:11:00,19:11:00
2017-06-19,5:12:00,19:12:00
2017-06-20,5:12:00,19:12:00
2017-06-21,5:12:00,19:12:00
2017-06-22,5:12:00,19:12:00
2017-07-12,5:21:00,19:21:00
2017-07-13,5:22:00,19:22:00
2017-07-20,5:27:00,19:27:00
2017-07-26,5:32:00,19:32:00
2017-07-27,5:32:00,19:32:00
2017-08-02,5:37:00,19:37:00
2017-08-22,5:54:00,19:54:00
2017-08-26,5:57:00,19:57:00
2017-08-30,6:00:00,19:00:00
2017-08-31,6:01:00,19:01:00
2017-09-01,6:02:00,19:02:00
2017-09-08,6:07:00,18:07:00
2017-09-09,6:08:00,18:08:00
2017-09-10,6:09:00,18:09:00
2017-09-12,6:11:00,18:11:00
2017-09-13,6:11:00,18:11:00
2017-09-14,6:12:00,18:12:00
2017-09-18,6:15:00,18:15:00
2017-09-21,6:18:00,18:18:00
2017-09-22,6:19:00,18:19:00
2017-09-24,6:20:00,18:20:00
2017-09-28,6:24:00,18:24:00
2017-10-08,6:32:00,18:32:00
2017-10-09,6:33:00,18:33:00
2017-10-14,6:37:00,17:37:00
2017-10-19,6:42:00,17:42:00
2017-10-21,6:44:00,17:44:00
2017-10-24,6:47:00,17:47:00
2017-10-30,6:53:00,17:53:00
2017-10-31,6:54:00,17:54:00
2017-11-11,7:05:00,17:05:00
2017-11-12,7:06:00,17:06:00
2017-11-15,7:09:00,17:09:00
2017-11-16,7:10:00,17:10:00
2017-12-13,7:35:00,17:35:00
2017-12-27,7:42:00,17:42:00
2017-12-28,7:43:00,17:43:00
2018-01-03,7:44:00,17:44:00
2018-01-05,7:44:00,17:44:00
2018-01-06,7:44:00,17:44:00
2018-01-07,7:44:00,17:44:00
2018-02-16,7:19:00,18:19:00
2018-02-17,7:18:00,18:18:00
2018-02-24,7:09:00,18:09:00
2018-02-25,7:08:00,18:08:00
2018-02-27,7:05:00,18:05:00
2018-03-03,7:00:00,18:00:00
2018-03-07,6:54:00,18:54:00
2018-03-10,6:50:00,18:50:00
2018-03-24,6:29:00,18:29:00
2018-03-26,6:26:00,18:26:00
2018-03-27,6:25:00,18:25:00
2018-03-31,6:19:00,18:19:00
2018-04-07,6:09:00,18:09:00
2018-04-09,6:06:00,18:06:00
2018-04-10,6:04:00,19:04:00
2018-04-12,6:02:00,19:02:00
2018-04-13,6:00:00,19:00:00
2018-04-16,5:56:00,19:56:00
2018-04-17,5:55:00,19:55:00
2018-04-18,5:53:00,19:53:00
